29.73,32.818,1
28.578,16.457,1
20.264,24.614,1
29.759,27.347,1
24.877,26.629,1
15.592,28.196,1
18.447,29.107,1
22.2,26.54,1
15.609,35.863,1
17.675,27.131,1
24.557,19.719,1
24.569,19.249,1
23.539,24.765,1
32.453,33.875,1
25.869,25.281,1
30.636,15.938,1
23.137,22.366,1
18.417,37.081,1
25.537,23.417,1
14.108,22.806,1
11.819,29.728,1
19.649,32.977,1
26.147,21.122,1
28.8,26.465,1
27.051,14.505,1
29.879,27.42,1
20.999,22.015,1
23.367,34.205,1
24.334,20.799,1
26.434,23.227,1
20.609,25.777,1
26.813,24.489,1
26.063,21.795,1
20.778,29.756,1
22.24,19.807,1
34.628,26.776,1
23.328,34.365,1
23.754,23.252,1
25.356,18.942,1
26.893,25.061,1
22.376,14.763,1
27.036,21.271,1
28.394,19.19,1
29.713,33.688,1
31.448,24.58,1
23.356,21.624,1
19.946,30.623,1
20.563,27.872,1
22.699,19.701,1
29.571,20.393,1
27.884,23.013,1
36.773,23.911,1
24.836,30.204,1
15.289,25.366,1
17.804,20.807,1
17.024,28.157,1
17.836,15.744,1
22.331,21.271,1
17.547,23.63,1
15.265,19.458,1
25.416,25.135,1
28.477,25.582,1
27.494,31.322,1
21.417,23.099,1
25.034,20.598,1
34.513,28.496,1
28.328,24.753,1
24.531,29.567,1
28.259,22.172,1
23.688,16.63,1
24.89,31.706,1
29.855,16.339,1
26.887,24.936,1
25.215,12.686,1
21.099,24.96,1
21.94,26.643,1
24.017,17.66,1
21.567,23.654,1
16.331,22.845,1
23.245,16.097,1
38.173,26.663,1
29.364,22.863,1
22.651,18.984,1
23.212,21.4,1
15.921,18.551,1
29.837,23.053,1
26.897,15.008,1
29.41,25.633,1
34.914,25.894,1
26.809,25.384,1
22.392,25.379,1
29.055,26.442,1
13.591,25.733,1
21.491,27.71,1
19.201,28.466,1
21.65,30.267,1
29.233,24.195,1
29.121,19.651,1
27.24,35.818,1
27.542,29.163,1
35.247,18.638,1
17.479,21.556,1
23.811,25.458,1
26.804,18.197,1
23.338,31.31,1
26.895,29.239,1
14.045,26.669,1
35.562,23.164,1
39.144,25.121,1
27.755,21.113,1
20.739,28.586,1
22.696,25.199,1
27.793,21.625,1
27.969,22.501,1
23.978,26.449,1
24.618,29.639,1
25.727,27.444,1
27.516,24.404,1
